AvAge,W,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
29.5,52,265,198,0.81,-0.02,3.23,2.41,63,268,23.51,51,291,82.47,8,9,2764,9.6,2279,0.913,100.6,8
28.6,47,263,221,0.53,0.01,3.21,2.7,54,243,22.22,47,268,82.46,7,6,2399,11,2504,0.912,102.3,5
28.9,46,298,261,0.5,0.01,3.63,3.18,57,238,23.95,55,238,76.89,6,9,2671,11.2,2446,0.893,100.5,5
29.1,45,288,267,0.28,0,3.51,3.26,71,248,28.63,39,234,83.33,5,6,2401,12,2430,0.89,99.5,4
29.3,41,275,273,0.06,0.02,3.35,3.33,63,273,23.08,49,240,79.58,7,10,2375,11.6,2657,0.897,100.7,4
25.7,39,244,243,0.03,0.01,2.98,2.96,37,223,16.59,49,243,79.84,7,10,2534,9.6,2402,0.899,100.1,5
27,37,250,281,-0.28,0.04,3.05,3.43,51,283,18.02,61,245,75.1,7,6,2602,9.6,2432,0.884,98.6,2
26.7,30,232,281,-0.59,0.05,2.83,3.43,44,252,17.46,65,277,76.53,7,12,2269,10.2,2738,0.897,100.9,2
29.1,55,278,226,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,2582,10.8,2418,0.907,99.9,6
29.4,52,277,211,0.73,-0.04,3.38,2.57,67,249,26.91,35,258,86.43,11,8,2733,10.1,2101,0.9,99.3,8
29.6,39,245,258,-0.18,0.03,2.99,3.15,47,231,20.35,63,221,71.49,10,3,2470,9.9,2686,0.904,100.7,5
30,40,216,252,-0.41,0.04,2.63,3.07,47,228,20.61,49,233,78.97,3,5,2172,9.9,2503,0.899,99.6,7
31.3,38,253,248,0.05,0,3.09,3.02,40,262,15.27,47,243,80.66,5,12,2685,9.4,2479,0.9,99.8,8
27.1,38,231,258,-0.29,0.03,2.82,3.15,31,254,12.2,40,241,83.4,16,4,2708,8.5,2225,0.884,97.6,5
26.8,38,264,281,-0.22,0.01,3.22,3.43,55,245,22.45,47,243,80.66,3,9,2516,10.5,2458,0.886,99.5,1
26.8,27,234,298,-0.72,0.05,2.85,3.63,32,212,15.09,56,236,76.27,5,6,2458,9.5,2822,0.894,100.2,1
29.3,52,294,232,0.74,-0.04,3.59,2.83,58,240,24.17,43,239,82.01,12,4,2588,11.4,2350,0.901,100.5,4
29.4,52,259,198,0.69,-0.04,3.16,2.41,45,240,18.75,51,223,77.13,3,5,2488,10.4,2429,0.918,102.2,8
28.8,50,302,252,0.57,-0.05,3.68,3.07,68,278,24.46,53,264,79.92,7,6,2705,11.2,2444,0.897,100.4,4
29.5,47,266,248,0.23,-0.02,3.24,3.02,58,269,21.56,57,247,76.92,7,5,2642,10.1,2507,0.901,100.4,4
29,43,234,248,-0.14,-0.01,2.85,3.02,45,250,18,46,215,78.6,11,7,2370,9.9,2636,0.906,100.4,4
29.3,39,248,260,-0.14,0.01,3.02,3.17,62,273,22.71,67,263,74.52,3,11,2471,10,2437,0.893,99.9,6
26.7,36,254,274,-0.21,0.01,3.1,3.34,53,241,21.99,63,266,76.32,7,7,2273,11.2,2598,0.895,100.8,7
27.4,23,178,289,-1.29,0.06,2.17,3.52,39,235,16.6,56,231,75.76,3,8,2153,8.3,2681,0.892,98.1,1
28.6,50,279,221,0.64,-0.04,3.4,2.7,58,257,22.57,53,254,79.13,7,7,2328,12,2343,0.906,102.4,7
29.4,49,292,236,0.65,-0.04,3.56,2.88,64,243,26.34,53,258,79.46,7,5,2768,10.5,2307,0.898,100.2,4
29.5,44,254,210,0.45,-0.05,3.1,2.56,56,248,22.58,39,253,84.58,11,7,2616,9.7,2296,0.909,99.6,7
29,45,263,243,0.22,-0.05,3.21,2.96,51,252,20.24,44,213,79.34,9,8,2548,10.3,2487,0.902,100.4,3
29.2,38,253,267,-0.2,0.02,3.09,3.26,45,252,17.86,47,245,80.82,11,11,2572,9.8,2438,0.89,99,2
29.4,34,214,232,-0.26,-0.03,2.61,2.83,50,242,20.66,47,222,78.83,6,9,2347,9.1,2391,0.903,100,5
27.7,27,203,293,-1.09,0.02,2.48,3.57,43,235,18.3,91,330,72.42,12,5,2194,9.3,2666,0.89,98.8,1
27.7,19,180,326,-1.78,0.05,2.2,3.98,42,208,20.19,62,252,75.4,3,8,2069,8.7,2881,0.887,97.5,2
29.5,65,301,174,1.54,-0.02,3.67,2.12,62,279,22.22,36,283,87.28,8,8,2703,11.1,2447,0.929,103,7
28.6,50,278,220,0.7,0,3.39,2.68,64,246,26.02,45,248,81.85,8,8,2628,10.6,2420,0.909,101.2,5
29.9,46,280,252,0.37,0.02,3.41,3.07,71,280,25.36,53,261,79.69,7,11,2621,10.7,2582,0.902,100.5,6
26.1,42,293,297,-0.01,0.04,3.57,3.62,63,269,23.42,61,226,73.01,9,7,2665,11,2710,0.89,99.8,2
27.3,39,259,270,-0.09,0.04,3.16,3.29,72,306,23.53,59,296,80.07,9,11,2746,9.4,2572,0.895,98.5,3
27.3,35,237,275,-0.44,0.04,2.89,3.35,57,270,21.11,54,249,78.31,5,12,2312,10.3,2496,0.89,99.1,4
27.3,31,227,305,-0.85,0.06,2.77,3.72,38,236,16.1,75,275,72.73,8,3,2237,10.1,2753,0.889,99.7,1
29.3,52,262,210,0.66,0.01,3.2,2.56,50,253,19.76,40,256,84.38,11,6,2852,9.2,2132,0.902,99.3,9
26.7,52,289,222,0.79,0,3.52,2.71,49,224,21.88,40,230,82.61,9,8,2821,10.2,2315,0.904,100.4,4
27.7,47,273,216,0.7,0,3.33,2.63,59,245,24.08,42,223,81.17,8,5,2582,10.6,2405,0.91,101.1,4
29.3,42,242,217,0.25,0,2.95,2.65,35,222,15.77,39,219,82.19,6,7,2524,9.6,2544,0.915,101.3,8
31,40,261,263,0.01,0.04,3.18,3.21,63,290,21.72,55,263,79.09,5,5,2818,9.3,2687,0.902,99.4,2
30.9,35,253,261,-0.1,0.02,3.09,3.18,52,245,21.22,41,226,81.86,4,8,2549,9.9,2548,0.898,99.6,5
26.8,31,220,276,-0.62,0.05,2.68,3.37,35,225,15.56,59,233,74.68,11,9,2416,9.1,2585,0.893,99.3,3
26.7,25,213,329,-1.34,0.07,2.6,4.01,41,224,18.3,59,237,75.11,5,9,2399,8.9,2904,0.887,98.1,0
28.1,51,274,223,0.61,-0.05,3.34,2.72,64,261,24.52,52,248,79.03,6,5,2727,10,2539,0.912,100.8,6
28.4,47,281,215,0.75,-0.07,3.43,2.62,64,256,25,40,242,83.47,10,5,2617,10.7,2452,0.912,101,6
29.3,46,239,219,0.21,-0.05,2.91,2.67,54,252,21.43,46,256,82.03,14,3,2535,9.4,2552,0.914,100.5,5
28.7,46,246,224,0.23,-0.04,3,2.73,52,270,19.26,42,239,82.43,7,6,2486,9.9,2487,0.91,100.5,4
28.3,42,223,236,-0.12,-0.02,2.72,2.88,44,250,17.6,48,275,82.55,6,6,2419,9.2,2729,0.914,100.6,2
29.3,37,260,298,-0.47,-0.01,3.17,3.63,46,238,19.33,60,217,72.35,7,14,2341,11.1,2652,0.888,100.5,4
26.4,28,225,295,-0.85,0.01,2.74,3.6,45,238,18.91,81,319,74.61,5,6,2119,10.6,2874,0.897,100.4,4
28.7,26,202,299,-1.16,0.02,2.46,3.65,38,232,16.38,55,231,76.19,7,10,2210,9.1,2758,0.892,98.7,2
29.1,51,267,225,0.49,-0.04,3.26,2.74,42,207,20.29,44,195,77.44,10,4,2587,10.3,2533,0.911,101,3
27.9,50,325,256,0.73,-0.07,3.96,3.12,89,275,32.36,64,278,76.98,18,7,2754,11.8,2572,0.9,100.5,2
28.7,47,274,254,0.27,-0.02,3.34,3.1,68,269,25.28,65,269,75.84,7,9,2658,10.3,2289,0.889,99.1,3
29,46,289,252,0.36,-0.04,3.52,3.07,48,243,19.75,55,236,76.69,6,9,2497,11.6,2215,0.886,100.8,3
29.8,38,258,247,0.05,-0.05,3.15,3.01,50,252,19.84,47,270,82.59,8,6,2948,8.8,2240,0.89,98.4,1
27.3,38,270,296,-0.3,-0.04,3.29,3.61,62,273,22.71,69,243,71.6,15,14,2438,11.1,2527,0.883,99.6,1
29.4,22,233,315,-1.05,0.01,2.84,3.84,41,223,18.39,43,244,82.38,4,13,2415,9.6,2640,0.881,98.3,4
28.2,23,206,335,-1.54,0.03,2.51,4.09,36,229,15.72,78,280,72.14,1,7,2326,8.9,3207,0.896,99.3,1
27.8,58,337,242,1.07,-0.08,4.11,2.95,64,262,24.43,53,259,79.54,12,8,3062,11,2515,0.904,100.4,5
28.4,54,312,252,0.69,-0.06,3.8,3.07,63,231,27.27,42,234,82.05,13,4,2835,11,2511,0.9,100.2,7
29.6,51,285,228,0.64,-0.02,3.48,2.78,62,259,23.94,49,252,80.56,7,5,2535,11.2,2441,0.907,101.4,3
28.5,51,253,218,0.38,-0.05,3.09,2.66,50,236,21.19,49,262,81.3,5,6,2962,8.5,2354,0.907,99.1,4
27.5,32,229,287,-0.69,0.02,2.79,3.5,47,222,21.17,50,212,76.42,6,6,2451,9.3,2702,0.894,99,1
26.9,32,227,310,-0.95,0.06,2.77,3.78,37,227,16.3,59,225,73.78,4,10,2414,9.4,2761,0.888,99.4,4
26.6,33,224,264,-0.44,0.03,2.73,3.22,47,243,19.34,49,249,80.32,9,4,2463,9.1,2740,0.904,99.5,2
